ZONE,Cu,Au,Cu_SK,Au_SK
,,,,
,,,,
1.0,0.221,4.032,0.22747366,4.07634132
1.0,0.221,4.033,0.23093446,4.05044844
1.0,0.221,4.034,0.23606318,4.04086348
1.0,0.221,4.036,0.24381015,4.03702882
1.0,0.221,4.036,0.25548276,4.03595007
1.0,0.221,4.036,0.27292772,4.03511971
1.0,0.325,4.036,0.27301682,4.03369239
1.0,0.325,4.037,0.2905528,4.02967753
1.0,0.325,4.038,0.30226967,4.01922602
1.0,0.325,4.038,0.31012945,3.99258719
1.0,0.325,4.038,0.31550082,3.92457506
1.0,0.325,4.039,0.31929186,3.75224371
1.0,0.325,4.039,0.3221471,3.31782417
1.0,0.325,4.041,0.32454664,2.22117412
1.0,0.324,0.403,0.32714905,2.221756
1.0,0.325,0.404,0.32980747,1.12581207
1.0,0.324,0.404,0.33381331,0.6907279
1.0,0.341,0.404,0.33496993,0.51800378
1.0,0.341,0.404,0.33941954,0.44956188
1.0,0.342,0.404,0.34338323,0.42251362
1.0,0.342,0.404,0.34786086,0.41212591
1.0,0.342,0.405,0.35335435,0.40813654
1.0,0.372,0.405,0.35307376,0.40749773
1.0,0.372,0.405,0.3572095,0.4089073
1.0,0.372,0.405,0.35878021,0.4137792
1.0,0.372,0.405,0.35792198,0.42701681
1.0,0.372,0.405,0.35466265,0.46494898
,,,,
,,,,
1.0,0.275,0.762,0.27200283,0.75975293
1.0,0.275,0.762,0.27174702,0.75978756
1.0,0.274,0.762,0.27176804,0.76074939
1.0,0.274,0.762,0.27141607,0.76074419
1.0,0.274,0.762,0.27074801,0.76144751
1.0,0.275,0.763,0.26885847,0.76319839
1.0,0.275,0.763,0.26531677,0.76825884
1.0,0.275,0.763,0.26002755,0.7820764
,,,,
1.0,0.275,0.761,0.27306694,0.7629757
1.0,0.275,0.762,0.27305724,0.76184169
1.0,0.275,0.762,0.27289204,0.75980864
1.0,0.275,0.762,0.27273602,0.75982471
1.0,0.275,0.762,0.27216877,0.75980371
,,,,
1.0,0.25,1.901,0.248631,1.92288264
1.0,0.25,1.901,0.24896518,1.90824106
1.0,0.25,1.901,0.24917447,1.90662115
1.0,0.25,1.902,0.24917053,1.91066834
1.0,0.25,1.902,0.24907745,1.92368984
1.0,0.25,1.903,0.24881598,1.95602255
1.0,0.25,1.903,0.24836886,2.03766874
1.0,0.25,1.903,0.24764313,2.24263144
1.0,0.247,2.668,0.24728672,2.17720355
1.0,0.255,2.253,0.2442054,2.55873988
1.0,0.255,2.253,0.24131994,2.90495375
1.0,0.255,2.253,0.23613283,3.84763949
1.0,0.22,5.425,0.23658399,3.84304572
1.0,0.22,5.426,0.23101573,4.79767917
1.0,0.22,5.427,0.2273314,5.17624564
1.0,0.22,5.428,0.22490046,5.32574669
1.0,0.22,5.429,0.22331724,5.38196154
1.0,0.22,5.429,0.2223279,5.39624954
1.0,0.22,5.43,0.22175917,5.38021162
1.0,0.22,5.432,0.22153864,5.31823857
1.0,0.22,5.433,0.22163796,5.15326321
1.0,0.22,5.436,0.22201358,4.73122945
1.0,0.221,4.031,0.22253758,4.73274843
1.0,0.221,4.032,0.22363346,4.30970359
